"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"sunnuntai 11.9.2022 12:00";"0,00";"1,73";"15,10"
"sunnuntai 11.9.2022 13:00";"0,00";"1,93";"16,20"
"sunnuntai 11.9.2022 14:00";"0,00";"1,57";"16,40"
"sunnuntai 11.9.2022 15:00";"0,00";"1,24";"17,60"
"sunnuntai 11.9.2022 16:00";"0,00";"0,59";"17,90"
"sunnuntai 11.9.2022 17:00";"0,30";"0,00";"24,00"
"sunnuntai 11.9.2022 18:00";"0,50";"0,00";"16,70"
"sunnuntai 11.9.2022 19:00";"0,69";"0,00";"14,00"
"sunnuntai 11.9.2022 20:00";"0,81";"0,00";"11,90"
"sunnuntai 11.9.2022 21:00";"0,74";"0,00";"10,80"
"sunnuntai 11.9.2022 22:00";"0,23";"0,00";"9,90"
"sunnuntai 11.9.2022 23:00";"0,21";"0,00";"8,80"
"maanantai 12.9.2022 00:00";"0,27";"0,00";"8,20"
"maanantai 12.9.2022 01:00";"0,20";"0,00";"7,50"
"maanantai 12.9.2022 02:00";"0,21";"0,00";"6,90"
"maanantai 12.9.2022 03:00";"0,20";"0,00";"6,60"
"maanantai 12.9.2022 04:00";"0,20";"0,00";"6,30"
"maanantai 12.9.2022 05:00";"0,29";"0,00";"6,00"
"maanantai 12.9.2022 06:00";"0,83";"0,00";"6,20"
"maanantai 12.9.2022 07:00";"0,39";"0,00";"6,40"
"maanantai 12.9.2022 08:00";"0,70";"0,00";"7,90"
"maanantai 12.9.2022 09:00";"0,00";"0,07";"9,80"
"maanantai 12.9.2022 10:00";"0,00";"1,29";"11,40"
"maanantai 12.9.2022 11:00";"0,00";"1,32";"12,80"
"maanantai 12.9.2022 12:00";"0,00";"1,02";"14,20"
"maanantai 12.9.2022 13:00";"0,00";"1,87";"15,80"
"maanantai 12.9.2022 14:00";"0,00";"1,62";"16,70"
"maanantai 12.9.2022 15:00";"0,00";"0,29";"17,20"
"maanantai 12.9.2022 16:00";"0,00";"0,22";"17,90"
"maanantai 12.9.2022 17:00";"0,00";"0,22";"19,90"
"maanantai 12.9.2022 18:00";"0,19";"0,00";"16,70"
"maanantai 12.9.2022 19:00";"0,63";"0,00";"13,80"
"maanantai 12.9.2022 20:00";"0,57";"0,00";"11,60"
"maanantai 12.9.2022 21:00";"0,33";"0,00";"10,60"
"maanantai 12.9.2022 22:00";"0,25";"0,00";"9,80"
