Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
0;8,71687E+12;PT1H;kWh;2022-08-03T19:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T20:00:00Z;0,73;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T21:00:00Z;0,6;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T22:00:00Z;0,33;OK
0;8,71687E+12;PT1H;kWh;2022-08-03T23:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T00:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T01:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T02:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T03:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T04:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T05:00:00Z;0,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T06:00:00Z;1,82;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T07:00:00Z;0,5;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T08:00:00Z;1,02;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T09:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T10:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T11:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T12:00:00Z;0,78;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T13:00:00Z;0,58;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T14:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T15:00:00Z;1,74;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T16:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T17:00:00Z;0,32;OK
